,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID
784,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước hoa hồng 140ml TẶNG Mặt nạ hoa hồng 30ml Cocoon,340.0,249.0,"4,9",74.0,,2023-03-09,Rose,R,6
785,HÀNG TẶNG KHÔNG BÁN - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,195.0,12000.0,"4,9",419.0,,2023-03-09,Rose,R,4
786,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,250.75,86000.0,"4,9",31000.0,15.0,2023-03-09,Rose,R,8
787,HÀNG TẶNG KHÔNG BÁN - Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,11000.0,"4,9",444.0,,2023-03-09,Rose,R,1
788,[Mã COSCN12 giảm 8%] Combo cấp ẩm cơ bản từ hoa hồng Cocoon,528.7,123.0,5,47.0,15.0,2023-03-09,Rose,R,11
789,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,165.75,52000.0,"4,9",19000.0,15.0,2023-03-09,Rose,R,15
790,"[Mã COSCN12 giảm 8%] Combo làm sạch, cấp ẩm & phục hồi chuyên sâu từ hoa hồng Cocoon",803.25,197.0,"4,8",72.0,15.0,2023-03-09,Rose,R,13
791,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,153.0,55000.0,5,19000.0,15.0,2023-03-09,Rose,R,14
792,[Mã COSCN12 giảm 8%] Combo cấp ẩm và phục hồi từ hoa hồng Cocoon,528.7,687.0,5,283.0,15.0,2023-03-09,Rose,R,12
793,[Mã COSCN12 giảm 8%] Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,67000.0,"4,9",24000.0,,2023-03-09,Rose,R,9
794,[Mã COSCN12 giảm 8%] Nước hoa hồng (toner) Cocoon cấp ẩm & làm mềm da 140ml,165.75,127000.0,5,47000.0,15.0,2023-03-09,Rose,R,17
795,[Mã COSCN12 giảm 8%] Tinh chất hoa hồng (serum) Cocoon cấp ẩm & phục hồi da 30ml,265.0,38000.0,5,14000.0,,2023-03-09,Rose,R,20
796,[Mã COSCN12 giảm 8%] Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,195.0,16000.0,5,65000.0,,2023-03-09,Rose,R,19
844,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,345.0,21000.0,5,773.0,,2023-03-10,Rose,R,7
845,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước hoa hồng 140ml TẶNG Mặt nạ hoa hồng 30ml Cocoon,340.0,253.0,"4,9",74.0,,2023-03-10,Rose,R,6
